time,date,group,obs,action,actor1,actor2,actor3,recipient1,recipient2,recipient3,context,response,agg_supp,intromission,pe,ejaculation,thrust_number,prox_10m_af,prox_10m_ef,prox_10m_all
12:56:16,3/20/2023,1,CC,M,M011,,,FUN,,,R,NA,No Value,NA,NA,NA,8,3,1,3
12:56:59,3/20/2023,1,CC,M,M011,,,FUN,,,R,NA,No Value,NA,NA,NA,5,3,1,3
12:57:45,3/20/2023,1,CC,M,M011,,,FUN,,,R,NA,No Value,NA,NA,NA,5,3,1,3
12:58:11,3/20/2023,1,CC,M,M011,,,FUN,,,R,NA,No Value,NA,NA,NA,3,3,1,3
13:05:27,3/20/2023,1,CC,Ag,M013,M027,,M011,,,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value
13:08:38,3/20/2023,2,AK,M,M041,,,M245,,,Gr,NA,No Value,NoIntro,PE,NoEjac,3,0,0,0
13:13:53,3/20/2023,1,CC,M,M143,,,M029,,,NA,IgnoreRejection,No Value,NA,NA,NA,No Value,No Value,No Value,No Value
13:14:33,3/20/2023,2,AK,M,M041,,,FUN,,,NA,NA,No Value,NA,NA,NA,3,0,0,0
13:47:30,3/20/2023,1,CC,M,M198,,,FUN,,,R,NA,No Value,NA,NA,NA,5,2,0,3
13:54:53,3/20/2023,1,CC,M,M140,,,FUN,,,R,NA,No Value,NoIntro,NoPE,NoEjac,1,6,2,8
7:31:46,3/21/2023,1,CC,M,M078,,,FUN,,,R,NA,No Value,NA,NA,NA,4,1,0,1
7:39:18,3/21/2023,1,CC,M,M078,,,FUN,,,R,NA,No Value,NA,NA,NA,4,1,0,1
7:46:01,3/21/2023,1,CC,Ag,M162,,,FUN,FUN,,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
7:46:57,3/21/2023,1,CC,M,M188,,,FUN,,,R,NA,No Value,Intro,PE,NA,7,16,3,22
7:48:07,3/21/2023,1,CC,M,M188,,,FUN,,,R,NA,No Value,NA,NA,NA,9,16,3,22
